AD_num,reported,candidate,party,votes,scrape_time
AD   47,99.00%,David Sepiashvili (M),(Republican),323,2025-07-02_13:54:32.967234
AD   47,99.00%,Maria L. Aulicino (F),(Republican),276,2025-07-02_13:54:32.967234
AD   47,99.00%,Lucretia Regina-Potter (F),(Republican),197,2025-07-02_13:54:32.967234
AD   47,99.00%,Dmitriy Kugel (M),(Republican),252,2025-07-02_13:54:32.967234
AD   47,99.00%,WRITE-IN,,9,2025-07-02_13:54:32.967234
Total,,David Sepiashvili (M),(Republican),323,2025-07-02_13:54:32.967234
Total,,Maria L. Aulicino (F),(Republican),276,2025-07-02_13:54:32.967234
Total,,Lucretia Regina-Potter (F),(Republican),197,2025-07-02_13:54:32.967234
Total,,Dmitriy Kugel (M),(Republican),252,2025-07-02_13:54:32.967234
Total,,WRITE-IN,,9,2025-07-02_13:54:32.967234
